,Timestamp,Values
212,4/2/2020 20,320.2
213,4/2/2020 21,320.2
214,4/2/2020 22,320.2
215,4/2/2020 23,320.2
216,4/3/2020 0,320.2
217,4/3/2020 1,320.2
218,4/3/2020 2,320.2
219,4/3/2020 3,320.2
220,4/3/2020 4,320.2
221,4/3/2020 5,320.2
222,4/3/2020 6,320.2
223,4/3/2020 7,320.2
224,4/3/2020 8,320.2
225,4/3/2020 9,320.2
226,4/3/2020 10,320.2
227,4/3/2020 11,320.2
228,4/3/2020 12,320.2
229,4/3/2020 13,320.2
230,4/3/2020 14,320.2
231,4/3/2020 15,321.4
232,4/3/2020 16,321.4
233,4/3/2020 17,321.4
234,4/3/2020 18,321.4
235,4/3/2020 19,321.8
236,4/3/2020 20,321.8
237,4/3/2020 21,321.8
238,4/3/2020 22,321.8
239,4/3/2020 23,321.8
240,4/4/2020 0,321.8
241,4/4/2020 1,321.8
242,4/4/2020 2,321.8
243,4/4/2020 3,321.8
244,4/4/2020 4,321.8
245,4/4/2020 5,321.8
246,4/4/2020 6,321.8
247,4/4/2020 7,321.8
248,4/4/2020 8,321.8
249,4/4/2020 9,321.8
250,4/4/2020 10,321.8
251,4/4/2020 11,321.8
252,4/4/2020 12,321.8
253,4/4/2020 13,321.8
254,4/4/2020 14,321.8
255,4/4/2020 15,321.8
256,4/4/2020 16,321.8
257,4/4/2020 17,321.8
258,4/4/2020 18,321.8
259,4/4/2020 19,321.8
260,4/4/2020 20,321.8
261,4/4/2020 21,321.8
262,4/4/2020 22,321.8
263,4/4/2020 23,321.8
264,4/5/2020 0,321.8
265,4/5/2020 1,321.8
266,4/5/2020 2,321.8
267,4/5/2020 3,321.8
268,4/5/2020 4,321.8
269,4/5/2020 5,321.8
270,4/5/2020 6,321.8
271,4/5/2020 7,321.8
272,4/5/2020 8,321.8
273,4/5/2020 9,321.8
274,4/5/2020 10,321.8
275,4/5/2020 11,321.8
276,4/5/2020 12,321.8
277,4/5/2020 13,321.8
278,4/5/2020 14,321.8
279,4/5/2020 15,321.8
280,4/5/2020 16,321.8
281,4/5/2020 17,321.8
282,4/5/2020 18,321.8
283,4/5/2020 19,321.8
284,4/5/2020 20,321.8
285,4/5/2020 21,321.8
286,4/5/2020 22,321.8
287,4/5/2020 23,321.8
288,4/6/2020 0,321.8
289,4/6/2020 1,321.8
290,4/6/2020 2,321.8
291,4/6/2020 3,321.8
292,4/6/2020 4,321.8
293,4/6/2020 5,321.8
294,4/6/2020 6,321.8
295,4/6/2020 7,321.8
296,4/6/2020 8,321.8
297,4/6/2020 9,321.8
298,4/6/2020 10,321.8
299,4/6/2020 11,321.8
300,4/6/2020 12,321.8
301,4/6/2020 13,321.8
302,4/6/2020 14,321.8
303,4/6/2020 15,321.8
304,4/6/2020 16,321.8
305,4/6/2020 17,321.8
306,4/6/2020 18,321.8
307,4/6/2020 19,321.8
308,4/6/2020 20,321.8
309,4/6/2020 21,321.8
310,4/6/2020 22,321.8
311,4/6/2020 23,321.8
312,4/7/2020 0,321.8
313,4/7/2020 1,321.8
314,4/7/2020 2,321.8
315,4/7/2020 3,321.8
316,4/7/2020 4,321.8
317,4/7/2020 5,321.8
318,4/7/2020 6,321.8
319,4/7/2020 7,321.8
320,4/7/2020 8,321.8
321,4/7/2020 9,321.8
322,4/7/2020 10,321.8
323,4/7/2020 11,321.8
324,4/7/2020 12,321.8
325,4/7/2020 13,321.8
326,4/7/2020 14,321.8
327,4/7/2020 15,321.8
328,4/7/2020 16,321.8
329,4/7/2020 17,321.8
330,4/7/2020 18,321.8
331,4/7/2020 19,321.8
332,4/7/2020 20,321.8
333,4/7/2020 21,321.8
334,4/7/2020 22,321.8
335,4/7/2020 23,321.8
336,4/8/2020 0,321.8
337,4/8/2020 1,321.8
338,4/8/2020 2,321.8
339,4/8/2020 3,321.8
340,4/8/2020 4,321.8
341,4/8/2020 5,321.8
342,4/8/2020 6,321.8
343,4/8/2020 7,321.8
344,4/8/2020 8,321.8
345,4/8/2020 9,321.8
346,4/8/2020 10,321.8
347,4/8/2020 11,321.8
348,4/8/2020 12,321.8
