,Timestamp,Values
199,4/2/2020 7,1.43994
200,4/2/2020 8,1.48769
201,4/2/2020 9,1.48769
202,4/2/2020 10,1.48769
203,4/2/2020 11,1.53544
204,4/2/2020 12,1.43994
205,4/2/2020 13,1.48769
206,4/2/2020 14,1.511565
207,4/2/2020 15,1.43994
208,4/2/2020 16,1.43994
209,4/2/2020 17,1.463815
210,4/2/2020 18,1.43994
211,4/2/2020 19,1.416065
212,4/2/2020 20,1.511565
213,4/2/2020 21,1.43994
214,4/2/2020 22,1.511565
215,4/2/2020 23,1.39219
216,4/3/2020 0,1.416065
217,4/3/2020 1,1.48769
218,4/3/2020 2,1.43994
219,4/3/2020 3,1.416065
220,4/3/2020 4,1.463815
221,4/3/2020 5,1.463815
222,4/3/2020 6,1.416065
223,4/3/2020 7,1.463815
224,4/3/2020 8,1.43994
225,4/3/2020 9,1.416065
226,4/3/2020 10,1.416065
227,4/3/2020 11,1.416065
228,4/3/2020 12,1.48769
229,4/3/2020 13,1.48769
230,4/3/2020 14,1.463815
231,4/3/2020 15,1.463815
232,4/3/2020 16,1.511565
233,4/3/2020 17,1.463815
234,4/3/2020 18,1.43994
235,4/3/2020 19,1.48769
236,4/3/2020 20,1.48769
237,4/3/2020 21,1.463815
238,4/3/2020 22,1.511565
239,4/3/2020 23,1.463815
240,4/4/2020 0,1.48769
241,4/4/2020 1,1.511565
242,4/4/2020 2,1.48769
243,4/4/2020 3,1.463815
244,4/4/2020 4,1.48769
245,4/4/2020 5,1.48769
246,4/4/2020 6,1.48769
247,4/4/2020 7,1.43994
248,4/4/2020 8,1.48769
249,4/4/2020 9,1.48769
250,4/4/2020 10,1.43994
251,4/4/2020 11,1.53544
252,4/4/2020 12,1.53544
253,4/4/2020 13,1.53544
254,4/4/2020 14,1.43994
255,4/4/2020 15,1.463815
256,4/4/2020 16,1.511565
257,4/4/2020 17,1.511565
258,4/4/2020 18,1.43994
259,4/4/2020 19,1.48769
260,4/4/2020 20,1.416065
261,4/4/2020 21,1.48769
262,4/4/2020 22,1.511565
263,4/4/2020 23,1.43994
264,4/5/2020 0,1.48769
265,4/5/2020 1,1.463815
266,4/5/2020 2,1.39219
267,4/5/2020 3,1.43994
268,4/5/2020 4,1.39219
269,4/5/2020 5,1.43994
270,4/5/2020 6,1.416065
271,4/5/2020 7,1.463815
272,4/5/2020 8,1.368315
273,4/5/2020 9,1.43994
274,4/5/2020 10,1.463815
275,4/5/2020 11,1.48769
276,4/5/2020 12,1.463815
277,4/5/2020 13,1.43994
278,4/5/2020 14,1.43994
279,4/5/2020 15,1.416065
280,4/5/2020 16,1.511565
281,4/5/2020 17,1.511565
282,4/5/2020 18,1.48769
283,4/5/2020 19,1.463815
284,4/5/2020 20,1.43994
285,4/5/2020 21,1.43994
286,4/5/2020 22,1.416065
287,4/5/2020 23,1.43994
288,4/6/2020 0,1.463815
289,4/6/2020 1,1.39219
290,4/6/2020 2,1.416065
291,4/6/2020 3,1.39219
292,4/6/2020 4,1.43994
293,4/6/2020 5,1.39219
294,4/6/2020 6,1.463815
295,4/6/2020 7,1.463815
296,4/6/2020 8,1.39219
297,4/6/2020 9,1.463815
298,4/6/2020 10,1.48769
299,4/6/2020 11,1.416065
300,4/6/2020 12,1.7264400000000002
301,4/6/2020 13,1.463815
302,4/6/2020 14,1.463815
303,4/6/2020 15,1.43994
304,4/6/2020 16,1.511565
305,4/6/2020 17,1.511565
306,4/6/2020 18,1.463815
307,4/6/2020 19,1.48769
308,4/6/2020 20,1.48769
309,4/6/2020 21,1.43994
310,4/6/2020 22,1.39219
311,4/6/2020 23,1.416065
312,4/7/2020 0,1.463815
313,4/7/2020 1,1.39219
314,4/7/2020 2,1.463815
315,4/7/2020 3,1.416065
316,4/7/2020 4,1.43994
317,4/7/2020 5,1.416065
318,4/7/2020 6,1.39219
319,4/7/2020 7,1.39219
320,4/7/2020 8,1.43994
321,4/7/2020 9,1.43994
322,4/7/2020 10,1.463815
323,4/7/2020 11,1.463815
324,4/7/2020 12,1.416065
325,4/7/2020 13,1.416065
326,4/7/2020 14,1.463815
327,4/7/2020 15,1.511565
328,4/7/2020 16,1.463815
329,4/7/2020 17,1.463815
330,4/7/2020 18,1.607065
331,4/7/2020 19,1.48769
332,4/7/2020 20,1.463815
333,4/7/2020 21,1.48769
334,4/7/2020 22,1.416065
335,4/7/2020 23,1.463815
336,4/8/2020 0,1.463815
337,4/8/2020 1,1.416065
338,4/8/2020 2,1.43994
339,4/8/2020 3,1.39219
340,4/8/2020 4,1.463815
341,4/8/2020 5,1.416065
342,4/8/2020 6,1.43994
343,4/8/2020 7,1.463815
344,4/8/2020 8,1.368315
345,4/8/2020 9,1.416065
346,4/8/2020 10,1.463815
347,4/8/2020 11,1.39219
348,4/8/2020 12,1.416065
349,4/8/2020 13,1.463815
350,4/8/2020 14,1.511565
351,4/8/2020 15,1.463815
352,4/8/2020 16,1.39219
353,4/8/2020 17,1.416065
354,4/8/2020 18,1.43994
355,4/8/2020 19,1.48769
356,4/8/2020 20,1.081815
357,4/8/2020 21,1.463815
358,4/8/2020 22,1.463815
359,4/8/2020 23,1.416065
360,4/9/2020 0,1.48769
361,4/9/2020 1,1.39219
362,4/9/2020 2,1.43994
363,4/9/2020 3,1.43994
364,4/9/2020 4,1.463815
365,4/9/2020 5,1.416065
366,4/9/2020 6,1.416065
367,4/9/2020 7,1.39219
368,4/9/2020 8,1.43994
369,4/9/2020 9,1.416065
370,4/9/2020 10,1.463815
371,4/9/2020 11,1.416065
372,4/9/2020 12,1.43994
373,4/9/2020 13,1.463815
374,4/9/2020 14,1.463815
375,4/9/2020 15,1.416065
376,4/9/2020 16,1.463815
377,4/9/2020 17,1.43994
378,4/9/2020 18,1.43994
379,4/9/2020 19,1.416065
380,4/9/2020 20,1.43994
381,4/9/2020 21,1.416065
382,4/9/2020 22,1.463815
383,4/9/2020 23,1.43994
384,4/10/2020 0,1.416065
385,4/10/2020 1,1.416065
386,4/10/2020 2,1.48769
387,4/10/2020 3,1.463815
388,4/10/2020 4,1.43994
389,4/10/2020 5,1.416065
390,4/10/2020 6,1.43994
391,4/10/2020 7,1.39219
392,4/10/2020 8,1.463815
393,4/10/2020 9,1.416065
394,4/10/2020 10,1.43994
395,4/10/2020 11,1.511565
396,4/10/2020 12,1.48769
397,4/10/2020 13,1.43994
398,4/10/2020 14,1.511565
399,4/10/2020 15,1.463815
400,4/10/2020 16,1.463815
401,4/10/2020 17,1.416065
402,4/10/2020 18,1.463815
403,4/10/2020 19,1.39219
404,4/10/2020 20,1.416065
405,4/10/2020 21,1.463815
406,4/10/2020 22,1.463815
407,4/10/2020 23,1.43994
408,4/11/2020 0,1.463815
409,4/11/2020 1,1.463815
410,4/11/2020 2,1.43994
411,4/11/2020 3,1.416065
412,4/11/2020 4,1.43994
413,4/11/2020 5,1.43994
414,4/11/2020 6,1.43994
415,4/11/2020 7,1.43994
416,4/11/2020 8,1.368315
417,4/11/2020 9,1.39219
418,4/11/2020 10,1.368315
419,4/11/2020 11,1.463815
420,4/11/2020 12,1.48769
421,4/11/2020 13,1.511565
422,4/11/2020 14,1.511565
423,4/11/2020 15,1.43994
424,4/11/2020 16,1.416065
425,4/11/2020 17,1.463815
426,4/11/2020 18,1.48769
427,4/11/2020 19,1.39219
428,4/11/2020 20,1.43994
429,4/11/2020 21,1.463815
430,4/11/2020 22,1.48769
431,4/11/2020 23,1.463815
432,4/12/2020 0,1.463815
433,4/12/2020 1,1.39219
434,4/12/2020 2,1.416065
435,4/12/2020 3,1.368315
436,4/12/2020 4,1.368315
437,4/12/2020 5,1.368315
438,4/12/2020 6,1.39219
439,4/12/2020 7,1.368315
440,4/12/2020 8,1.416065
441,4/12/2020 9,1.416065
442,4/12/2020 10,1.43994
443,4/12/2020 11,1.463815
444,4/12/2020 12,1.416065
445,4/12/2020 13,1.463815
446,4/12/2020 14,1.48769
447,4/12/2020 15,1.39219
448,4/12/2020 16,1.416065
449,4/12/2020 17,1.463815
450,4/12/2020 18,1.416065
451,4/12/2020 19,1.463815
452,4/12/2020 20,1.43994
453,4/12/2020 21,1.416065
454,4/12/2020 22,1.39219
455,4/12/2020 23,1.43994
456,4/13/2020 0,1.39219
457,4/13/2020 1,1.416065
458,4/13/2020 2,1.43994
459,4/13/2020 3,1.463815
460,4/13/2020 4,1.43994
461,4/13/2020 5,1.43994
462,4/13/2020 6,1.43994
463,4/13/2020 7,1.463815
464,4/13/2020 8,1.463815
465,4/13/2020 9,1.43994
466,4/13/2020 10,1.416065
467,4/13/2020 11,1.463815
468,4/13/2020 12,1.43994
469,4/13/2020 13,1.463815
470,4/13/2020 14,1.463815
471,4/13/2020 15,1.39219
472,4/13/2020 16,1.48769
473,4/13/2020 17,1.39219
474,4/13/2020 18,1.48769
475,4/13/2020 19,1.416065
476,4/13/2020 20,1.368315
477,4/13/2020 21,1.416065
478,4/13/2020 22,1.43994
479,4/13/2020 23,1.368315
