,Timestamp,Values
0,10/1/2020 0,0.112
1,10/1/2020 1,0.112
2,10/1/2020 2,0.112
3,10/1/2020 3,0.112
4,10/1/2020 4,0.112
5,10/1/2020 5,0.112
6,10/1/2020 6,0.112
7,10/1/2020 7,0.112
8,10/1/2020 8,0.112
9,10/1/2020 9,0.112
10,10/1/2020 10,0.112
11,10/1/2020 11,0.112
12,10/1/2020 12,0.112
13,10/1/2020 13,0.112
14,10/1/2020 14,0.0
15,10/1/2020 15,0.0
16,10/1/2020 16,0.0
17,10/1/2020 17,0.136
18,10/1/2020 18,0.368
19,10/1/2020 19,0.368
20,10/1/2020 20,0.68
21,10/1/2020 21,0.7120000000000001
22,10/1/2020 22,0.7120000000000001
23,10/1/2020 23,0.7120000000000001
24,10/2/2020 0,0.72
25,10/2/2020 1,0.72
26,10/2/2020 2,0.72
27,10/2/2020 3,0.72
28,10/2/2020 4,0.76
29,10/2/2020 5,0.76
30,10/2/2020 6,0.76
31,10/2/2020 7,0.76
32,10/2/2020 8,0.76
33,10/2/2020 9,0.76
34,10/2/2020 10,0.76
35,10/2/2020 11,0.76
36,10/2/2020 12,0.76
37,10/2/2020 13,0.76
38,10/2/2020 14,0.0
39,10/2/2020 15,0.0
40,10/2/2020 16,0.0
41,10/2/2020 17,0.0
42,10/2/2020 18,0.0
43,10/2/2020 19,0.0
44,10/2/2020 20,0.0
45,10/2/2020 21,0.0
46,10/2/2020 22,0.0
47,10/2/2020 23,0.0
48,10/3/2020 0,0.0
49,10/3/2020 1,0.0
50,10/3/2020 2,0.0
51,10/3/2020 3,0.0
52,10/3/2020 4,0.0
53,10/3/2020 5,0.0
54,10/3/2020 6,0.0
55,10/3/2020 7,0.0
56,10/3/2020 8,0.0
57,10/3/2020 9,0.0
58,10/3/2020 10,0.0
59,10/3/2020 11,0.0
60,10/3/2020 12,0.0
61,10/3/2020 13,0.0
62,10/3/2020 14,0.0
63,10/3/2020 15,0.0
64,10/3/2020 16,0.0
65,10/3/2020 17,0.0
66,10/3/2020 18,0.0
67,10/3/2020 19,0.0
68,10/3/2020 20,0.0
69,10/3/2020 21,0.0
70,10/3/2020 22,0.0
71,10/3/2020 23,0.0
72,10/4/2020 0,0.0
73,10/4/2020 1,0.0
74,10/4/2020 2,0.0
75,10/4/2020 3,0.0
76,10/4/2020 4,0.0
