,Unnamed: 0,Timestamp,Sensor Value
148,148,01/03/2021 02:00:00,0.86804
149,149,01/03/2021 02:30:00,0.64013
150,150,01/03/2021 03:00:00,0.25671
151,151,01/03/2021 03:30:00,0.26035
152,152,01/03/2021 04:00:00,0.06465
153,153,01/03/2021 04:30:00,0.0
154,154,01/03/2021 05:00:00,0.0
155,155,01/03/2021 05:30:00,0.0
156,156,01/03/2021 06:00:00,0.06888
157,157,01/03/2021 06:30:00,0.02919
158,158,01/03/2021 07:00:00,0.00068
159,159,01/03/2021 07:30:00,0.00367
160,160,01/03/2021 08:00:00,0.80216
161,161,01/03/2021 08:30:00,0.0
162,162,01/03/2021 09:00:00,0.67062
163,163,01/03/2021 09:30:00,0.0208
164,164,01/03/2021 10:00:00,0.0
165,165,01/03/2021 10:30:00,0.0
166,166,01/03/2021 11:00:00,0.0
167,167,01/03/2021 11:30:00,0.37639
168,168,01/03/2021 12:00:00,1.7379
169,169,01/03/2021 12:30:00,1.49792
170,170,01/03/2021 13:00:00,0.71
171,171,01/03/2021 13:30:00,0.42
172,172,01/03/2021 14:00:00,0.96905
173,173,01/03/2021 14:30:00,0.1867
174,174,01/03/2021 15:00:00,0.91084
175,175,01/03/2021 15:30:00,0.78492
176,176,01/03/2021 16:00:00,0.24148
177,177,01/03/2021 16:30:00,0.10758
178,178,01/03/2021 17:00:00,0.0
179,179,01/03/2021 17:30:00,0.0
180,180,01/03/2021 18:00:00,0.03075
181,181,01/03/2021 18:30:00,0.3235
182,182,01/03/2021 19:00:00,0.0
183,183,01/03/2021 19:30:00,0.0
184,184,01/03/2021 20:00:00,0.07
185,185,01/03/2021 20:30:00,0.0
186,186,01/03/2021 21:00:00,0.0
187,187,01/03/2021 21:30:00,0.01209
188,188,01/03/2021 22:00:00,0.0
189,189,01/03/2021 22:30:00,0.0
190,190,01/03/2021 23:00:00,0.00413
191,191,01/03/2021 23:30:00,0.0
192,192,01/04/2021 00:00:00,0.0
193,193,01/04/2021 00:30:00,0.0
194,194,01/04/2021 01:00:00,0.0
195,195,01/04/2021 01:30:00,0.0
196,196,01/04/2021 02:00:00,0.0
197,197,01/04/2021 02:30:00,0.0
198,198,01/04/2021 03:00:00,0.0
199,199,01/04/2021 03:30:00,0.0
200,200,01/04/2021 04:00:00,0.0
201,201,01/04/2021 04:30:00,0.0
202,202,01/04/2021 05:00:00,0.0
203,203,01/04/2021 05:30:00,0.0
204,204,01/04/2021 06:00:00,0.0
205,205,01/04/2021 06:30:00,0.0
206,206,01/04/2021 07:00:00,0.0
207,207,01/04/2021 07:30:00,0.0
208,208,01/04/2021 08:00:00,0.0
209,209,01/04/2021 08:30:00,0.0
210,210,01/04/2021 09:00:00,0.0
211,211,01/04/2021 09:30:00,0.0
212,212,01/04/2021 10:00:00,0.0
213,213,01/04/2021 10:30:00,0.0
214,214,01/04/2021 11:00:00,0.0
215,215,01/04/2021 11:30:00,0.0
216,216,01/04/2021 12:00:00,0.0
217,217,01/04/2021 12:30:00,0.0
218,218,01/04/2021 13:00:00,0.0
219,219,01/04/2021 13:30:00,0.0
220,220,01/04/2021 14:00:00,0.0
221,221,01/04/2021 14:30:00,0.0
222,222,01/04/2021 15:00:00,0.0
223,223,01/04/2021 15:30:00,0.0
224,224,01/05/2021 16:00:00,0.0
225,225,01/05/2021 16:30:00,0.0
226,226,01/05/2021 17:00:00,0.0
227,227,01/05/2021 17:30:00,0.0
228,228,01/05/2021 18:00:00,0.0
229,229,01/05/2021 18:30:00,0.0
230,230,01/05/2021 19:00:00,0.0
231,231,01/05/2021 19:30:00,0.0
232,232,01/05/2021 20:00:00,0.0
233,233,01/05/2021 20:30:00,0.05774
234,234,01/05/2021 21:00:00,0.92575
235,235,01/05/2021 21:30:00,0.0
236,236,01/05/2021 22:00:00,0.0
237,237,01/05/2021 22:30:00,0.0
238,238,01/05/2021 23:00:00,0.0
239,239,01/05/2021 23:30:00,0.0
240,240,01/06/2021 00:00:00,0.0
241,241,01/06/2021 00:30:00,0.01571
242,242,01/06/2021 01:00:00,1.02085
243,243,01/06/2021 01:30:00,0.31635
244,244,01/06/2021 02:00:00,0.0
245,245,01/06/2021 02:30:00,0.09199
246,246,01/06/2021 03:00:00,0.48986
247,247,01/06/2021 03:30:00,0.0
248,248,01/06/2021 04:00:00,0.05833
249,249,01/06/2021 04:30:00,0.0
250,250,01/06/2021 05:00:00,0.0
251,251,01/06/2021 05:30:00,0.0
252,252,01/06/2021 06:00:00,0.30457
253,253,01/06/2021 06:30:00,0.07177
254,254,01/06/2021 07:00:00,0.9741
255,255,01/06/2021 07:30:00,0.38432
256,256,01/06/2021 08:00:00,0.00735
257,257,01/06/2021 08:30:00,1.23669
258,258,01/06/2021 09:00:00,0.36487
259,259,01/06/2021 09:30:00,0.0
260,260,01/06/2021 10:00:00,0.2
261,261,01/06/2021 10:30:00,0.2
262,262,01/06/2021 11:00:00,0.11198
263,263,01/06/2021 11:30:00,0.08058
264,264,01/06/2021 12:00:00,0.06364
265,265,01/06/2021 12:30:00,0.0415
266,266,01/06/2021 13:00:00,0.0
267,267,01/06/2021 13:30:00,0.0
268,268,01/06/2021 14:00:00,0.0
269,269,01/06/2021 14:30:00,0.0
270,270,01/06/2021 15:00:00,0.0
271,271,01/06/2021 15:30:00,0.0
272,272,01/06/2021 16:00:00,0.0
273,273,01/06/2021 16:30:00,0.0
274,274,01/06/2021 17:00:00,0.0
275,275,01/06/2021 17:30:00,0.0
276,276,01/06/2021 18:00:00,0.0
277,277,01/06/2021 18:30:00,0.0
278,278,01/06/2021 19:00:00,0.0
279,279,01/06/2021 19:30:00,0.0
280,280,01/06/2021 20:00:00,0.0
281,281,01/06/2021 20:30:00,0.0
282,282,01/06/2021 21:00:00,0.0
283,283,01/06/2021 21:30:00,0.0
284,284,01/06/2021 22:00:00,0.0
285,285,01/06/2021 22:30:00,0.0
286,286,01/06/2021 23:00:00,0.0
287,287,01/06/2021 23:30:00,0.0
288,288,01/07/2021 00:00:00,0.0
289,289,01/07/2021 00:30:00,0.0
290,290,01/07/2021 01:00:00,0.0
291,291,01/07/2021 01:30:00,0.0
292,292,01/07/2021 02:00:00,0.0
293,293,01/07/2021 02:30:00,0.0
294,294,01/07/2021 03:00:00,0.0
295,295,01/07/2021 03:30:00,0.0
296,296,01/07/2021 04:00:00,0.0
297,297,01/07/2021 04:30:00,4.25
298,298,01/07/2021 05:00:00,4.25
299,299,01/07/2021 05:30:00,2.58862
300,300,01/07/2021 06:00:00,1.73427
301,301,01/07/2021 06:30:00,1.38388
302,302,01/07/2021 07:00:00,1.41825
303,303,01/07/2021 07:30:00,1.4178
304,304,01/07/2021 08:00:00,3.08
305,305,01/07/2021 08:30:00,1.51
306,306,01/07/2021 09:00:00,1.51
307,307,01/07/2021 09:30:00,1.84
308,308,01/07/2021 10:00:00,1.84
309,309,01/07/2021 10:30:00,1.07999
310,310,01/07/2021 11:00:00,0.7805
311,311,01/07/2021 11:30:00,0.59935
312,312,01/07/2021 12:00:00,0.3818
313,313,01/07/2021 12:30:00,0.25
314,314,01/07/2021 13:00:00,0.25
315,315,01/07/2021 13:30:00,0.36608
316,316,01/07/2021 14:00:00,0.22356
317,317,01/07/2021 14:30:00,2.86405
318,318,01/07/2021 15:00:00,1.08082
319,319,01/07/2021 15:30:00,1.1891
320,320,01/07/2021 16:00:00,3.65061
321,321,01/07/2021 16:30:00,0.00584
322,322,01/07/2021 17:00:00,0.51
323,323,01/07/2021 17:30:00,0.51
324,324,01/07/2021 18:00:00,0.31397
325,325,01/07/2021 18:30:00,0.22671
326,326,01/07/2021 19:00:00,0.13782
327,327,01/07/2021 19:30:00,0.07675
328,328,01/07/2021 20:00:00,0.04173
329,329,01/07/2021 20:30:00,0.02528
330,330,01/07/2021 21:00:00,0.01192
331,331,01/07/2021 21:30:00,0.00406
332,332,01/07/2021 22:00:00,0.0
333,333,01/07/2021 22:30:00,0.0
334,334,01/07/2021 23:00:00,0.0
335,335,01/07/2021 23:30:00,0.0
336,336,01/08/2021 00:00:00,0.0
337,337,01/08/2021 00:30:00,0.0
338,338,01/08/2021 01:00:00,0.0
339,339,01/08/2021 01:30:00,0.0
340,340,01/08/2021 02:00:00,0.0
341,341,01/08/2021 02:30:00,0.0
342,342,01/08/2021 03:00:00,0.0
343,343,01/08/2021 03:30:00,0.0
344,344,01/08/2021 04:00:00,0.0
345,345,01/08/2021 04:30:00,0.0
346,346,01/08/2021 05:00:00,0.0
347,347,01/08/2021 05:30:00,0.0
348,348,01/08/2021 06:00:00,0.0
349,349,01/08/2021 06:30:00,0.01197
350,350,01/08/2021 07:00:00,0.64081
351,351,01/08/2021 07:30:00,12.57203
