,Timestamp,Water Level,Rain Gauge 0,Rain Gauge 1
98,2021-03-05 02:00:00,,,0.0
126,2021-03-06 06:00:00,,,0.0
164,2021-03-07 20:00:00,,,0.0
325,2021-03-14 13:00:00,,,0.032
337,2021-03-15 01:00:00,,,0.248
349,2021-03-15 13:00:00,,,0.248
363,2021-03-16 03:00:00,,,0.0
375,2021-03-16 15:00:00,,,0.0
389,2021-03-17 05:00:00,,,0.0
680,2021-03-29 08:00:00,,,0.0
